Node	Beg	End
40	890014	899366
40	902790	903193
40	904973	906674
40	1098425	1101779
40	1110761	1110764
40	1116659	1117219
40	1163797	1166347
59	47912	50120
59	51962	56999
59	1092391	1100351
59	1263723	1263959
59	1266192	1266227
62	47923	50122
62	51973	56701
62	1269837	1269840
63	47512	50120
63	51962	56699
63	147691	147701
63	180090	180921
63	182581	183018
63	241180	260322
63	261276	263052
63	265874	266747
63	267687	268823
63	272946	273211
63	275708	277054
63	415549	416617
63	417804	421711
63	525719	525725
63	533187	534591
63	537509	537937
63	796728	797329
63	799414	800160
63	803447	804596
63	807428	807797
63	879109	881939
63	882749	883783
63	1024782	1031693
63	1032656	1032671
63	1188526	1193705
63	1195000	1212424
63	1224586	1225242
63	1248623	1250417
63	1260436	1260471
63	1263741	1264314
63	1268403	1272094
63	1433638	1443383
63	1455255	1455322
63	1491210	1492909
63	1561351	1565241
65	1260097	1260165
71	1	1818
71	1635420	1635506
71	1638608	1638852
71	1639922	1641481
73	1262	1926
73	18266	19369
73	28486	29098
73	34990	35326
73	47770	48653
73	49992	50144
73	51940	53100
73	55019	56180
73	62749	63625
73	65687	68847
73	70299	70925
73	72013	72703
73	101378	101940
73	147371	147605
73	153777	157077
73	224462	226359
73	228005	232429
73	245699	249854
73	267687	270402
73	291550	294322
73	295432	295948
73	376742	376994
73	386176	386386
73	520395	522570
73	575072	576902
73	591579	592480
73	610409	611684
73	616137	620155
73	626964	634297
73	640321	642969
73	680557	682020
73	770362	776383
73	841804	844628
73	923708	923823
73	929701	939266
73	941984	945528
73	977589	977935
73	980662	981410
73	982550	982880
73	983789	984509
73	988189	990051
73	1036285	1037804
73	1038594	1038729
73	1039528	1043710
73	1045342	1046259
73	1065576	1069432
73	1092182	1093190
73	1099761	1100402
73	1104023	1104046
73	1106713	1107947
73	1116626	1125374
73	1160355	1161650
73	1169345	1171227
73	1189375	1189428
73	1225055	1225178
73	1234532	1234601
73	1242601	1242780
73	1246042	1246676
73	1252242	1252967
73	1259512	1259916
73	1262394	1262888
73	1263744	1264122
73	1265786	1267536
73	1268268	1269433
73	1276535	1277264
73	1279605	1279904
73	1281904	1284679
73	1296605	1297591
73	1298918	1300034
73	1331331	1332960
73	1338763	1342497
73	1493992	1496022
73	1497232	1500645
73	1503019	1510125
73	1585063	1588715
73	1592569	1596810
73	1602375	1605186
73	1606086	1610362
73	1637938	1641481
74	1	465
74	1262	2743
74	14421	16383
74	22223	22259
74	26941	28260
74	32677	33807
74	47491	50132
74	51889	59670
74	64898	65609
74	72245	72978
74	111267	111445
74	112351	114625
74	115845	116882
74	134693	134927
74	138106	140071
74	141431	144370
74	160681	160986
74	202279	202795
74	223671	226359
74	258829	259447
74	318520	319536
74	403912	409781
74	422814	433457
74	506519	507339
74	573346	575371
74	579112	587465
74	591546	596688
74	615242	617989
74	626373	631190
74	633148	634381
74	635862	637383
74	640705	642969
74	646013	647072
74	936768	938321
74	979107	982949
74	985220	985325
74	989029	990123
74	1065576	1066344
74	1067325	1071361
74	1074219	1074516
74	1080067	1080742
74	1084847	1086069
74	1090337	1091034
74	1097454	1099767
74	1107329	1114346
74	1116136	1117303
74	1129373	1130023
74	1161687	1163817
74	1190792	1191390
74	1242571	1243783
74	1245730	1246819
74	1248072	1249771
74	1254227	1261016
74	1262319	1262441
74	1267286	1267551
74	1268535	1270175
74	1271797	1271848
74	1314742	1315510
74	1345909	1350978
74	1353807	1354329
74	1382543	1385787
74	1410711	1411101
74	1425650	1426563
74	1434034	1434144
74	1437235	1437636
74	1455227	1457363
74	1492062	1492909
74	1497321	1500645
74	1501971	1502317
74	1511811	1513782
74	1538263	1539871
74	1555730	1556520
74	1558601	1558806
74	1638344	1638857
74	1639940	1641481
75	18266	18525
75	26941	29137
75	30724	33157
75	34990	35296
75	47713	50132
75	52863	55853
75	56672	56972
75	95021	95651
75	102237	103149
75	105673	111445
75	242155	245280
75	377261	381812
75	522171	525561
75	535356	538738
75	589012	589227
75	615338	619061
75	682018	682873
75	853139	853451
75	857428	857671
75	1001675	1005736
75	1034762	1036365
75	1099254	1100906
75	1116704	1117250
75	1134805	1139339
75	1147239	1150299
75	1189375	1190197
75	1230507	1230834
75	1234385	1234405
75	1260097	1260143
75	1272113	1272196
75	1273933	1274016
75	1387762	1389738
75	1390785	1392753
75	1492863	1492909
75	1495791	1496597
75	1498844	1499787
